-4.1148	12.1158
-1.143	11.43
-3.2004	11.43
-0.6858	8.4582
-1.8288	9.144
-3.2004	7.3152
-3.6576	8.6868
-2.7432	4.3434
-0.9144	1.6002
-2.7432	1.6002
-3.2004	0
0.4572	0
3.2004	0.4572
3.6576	2.7432
3.2004	5.4864
3.2004	9.144
3.2004	12.3444
2.286	10.5156
0.9144	10.5156
2.286	12.1158
5.0292	9.144
1.3716	8.6868
5.0292	6.858
5.4864	4.1148
4.1148	4.1148
0.9144	3.6576
1.8288	4.572
1.3716	2.0574
5.0292	1.3716
4.572	-0.2286
7.7724	0
9.6012	3.6576
9.6012	6.4008
9.6012	8.2296
9.6012	10.5156
9.73836	11.8872
7.3152	11.2014
7.3152	7.5438
8.54964	9.144
7.3152	6.4008
8.2296	4.1148
8.6868	2.0574
7.3152	2.286
9.6012	0
